init x,init y,init z,N,dt,elapsed_time_total
2.9000000000000004,2.7,4.3,16500,0.005,0.9538351999999861
beta,sigma,rho,time_elapsed
10.0,2.6666666666666665,6.0,0.1920259000000044
x,y,z
2.9000000000000004,2.7,4.3
2.89,2.711,4.282
2.881,2.722,4.264
2.873,2.733,4.246
2.866,2.745,4.229
2.86,2.757,4.212
2.855,2.769,4.195
2.851,2.781,4.179
2.848,2.793,4.163
2.845,2.805,4.147
2.843,2.817,4.132
2.842,2.829,4.117
2.841,2.842,4.102
2.841,2.855,4.088
2.842,2.868,4.074
2.843,2.881,4.06
2.845,2.894,4.047
2.847,2.907,4.034
2.85,2.92,4.022
2.854,2.934,4.01
2.858,2.948,3.998
2.863,2.962,3.987
2.868,2.976,3.976
2.873,2.99,3.966
2.879,3.004,3.956
2.885,3.018,3.946
2.892,3.033,3.937
2.899,3.048,3.928
2.906,3.063,3.92
2.914,3.078,3.912
2.922,3.093,3.905
2.931,3.108,3.898
2.94,3.123,3.892
2.949,3.138,3.886
2.958,3.153,3.88
2.968,3.169,3.875
2.978,3.185,3.87
2.988,3.201,3.866
2.999,3.217,3.862
3.01,3.233,3.859
3.021,3.249,3.856
3.032,3.265,3.854
3.044,3.281,3.852
3.056,3.297,3.851
3.068,3.313,3.85
3.08,3.329,3.849
3.092,3.345,3.849
3.105,3.362,3.849
3.118,3.379,3.85
3.131,3.396,3.851
3.144,3.413,3.853
3.157,3.43,3.855
3.171,3.447,3.858
3.185,3.464,3.861
3.199,3.481,3.865
3.213,3.498,3.869
3.227,3.515,3.874
3.241,3.532,3.879
3.256,3.549,3.885
3.271,3.566,3.891
3.286,3.583,3.897
3.301,3.6,3.904
3.316,3.617,3.911
3.331,3.634,3.919
3.346,3.65,3.927
3.361,3.666,3.936
3.376,3.682,3.945
3.391,3.698,3.955
3.406,3.714,3.965
3.421,3.73,3.975
3.436,3.746,3.986
3.452,3.762,3.997
3.468,3.778,4.009
3.484,3.794,4.021
3.5,3.81,4.033
3.516,3.825,4.046
3.531,3.84,4.059
3.546,3.855,4.073
3.561,3.87,4.087
3.576,3.885,4.101
3.591,3.9,4.116
3.606,3.914,4.131
3.621,3.928,4.146
3.636,3.942,4.162
3.651,3.956,4.178
3.666,3.969,4.195
3.681,3.982,4.212
3.696,3.995,4.229
3.711,4.008,4.246
3.726,4.021,4.264
3.741,4.033,4.282
3.756,4.045,4.3
3.77,4.057,4.319
3.784,4.068,4.338
3.798,4.079,4.357
3.812,4.09,4.376
3.826,4.101,4.396
3.84,4.111,4.416
3.854,4.121,4.436
3.867,4.131,4.456
3.88,4.14,4.476
3.893,4.149,4.497
3.906,4.158,4.518
3.919,4.166,4.539
3.931,4.174,4.56
3.943,4.181,4.581
3.955,4.188,4.602
3.967,4.195,4.623
3.978,4.201,4.645
3.989,4.207,4.667
4.0,4.213,4.689
4.011,4.218,4.711
4.021,4.223,4.733
4.031,4.227,4.755
4.041,4.231,4.777
4.051,4.235,4.799
4.06,4.238,4.821
4.069,4.241,4.843
4.078,4.243,4.865
4.086,4.245,4.887
4.094,4.247,4.909
4.102,4.248,4.93
4.109,4.249,4.951
4.116,4.249,4.972
4.123,4.249,4.993
4.129,4.249,5.014
4.135,4.248,5.035
4.141,4.247,5.056
4.146,4.245,5.077
4.151,4.243,5.097
4.156,4.241,5.117
4.16,4.238,5.137
4.164,4.235,5.157
4.168,4.231,5.176
4.171,4.227,5.195
4.174,4.223,5.214
4.176,4.218,5.233
4.178,4.213,5.251
4.18,4.208,5.269
4.181,4.202,5.287
4.182,4.196,5.304
4.183,4.19,5.321
4.183,4.183,5.338
4.183,4.176,5.354
4.183,4.169,5.37
4.182,4.161,5.386
4.181,4.153,5.401
4.18,4.145,5.416
4.178,4.136,5.43
4.176,4.127,5.444
4.174,4.118,5.458
4.171,4.109,5.471
4.168,4.099,5.484
4.165,4.089,5.496
4.161,4.079,5.508
4.157,4.069,5.519
4.153,4.059,5.53
4.148,4.048,5.541
4.143,4.037,5.551
4.138,4.026,5.561
4.132,4.015,5.57
4.126,4.004,5.579
4.12,3.993,5.587
4.114,3.982,5.595
4.107,3.97,5.602
4.1,3.958,5.609
4.093,3.946,5.615
4.086,3.934,5.621
4.078,3.922,5.626
4.07,3.91,5.631
4.062,3.898,5.635
4.054,3.886,5.639
4.046,3.874,5.643
4.037,3.862,5.646
4.028,3.85,5.649
4.019,3.838,5.651
4.01,3.826,5.653
4.001,3.814,5.654
3.992,3.802,5.655
3.982,3.79,5.655
3.972,3.778,5.655
3.962,3.766,5.655
3.952,3.754,5.654
3.942,3.742,5.653
3.932,3.73,5.651
3.922,3.718,5.649
3.912,3.706,5.647
3.902,3.694,5.644
3.892,3.682,5.641
3.882,3.671,5.637
3.871,3.66,5.633
3.86,3.649,5.629
3.849,3.638,5.624
3.838,3.627,5.619
3.827,3.616,5.614
3.816,3.605,5.608
3.805,3.594,5.602
3.794,3.584,5.596
3.784,3.574,5.589
3.774,3.564,5.582
3.764,3.554,5.575
3.754,3.544,5.568
3.744,3.534,5.56
3.734,3.525,5.552
3.724,3.516,5.544
3.714,3.507,5.536
3.704,3.498,5.527
3.694,3.489,5.518
3.684,3.48,5.509
3.674,3.472,5.5
3.664,3.464,5.49
3.654,3.456,5.48
3.644,3.448,5.47
3.634,3.44,5.46
3.624,3.433,5.45
3.614,3.426,5.44
3.605,3.419,5.429
3.596,3.412,5.418
3.587,3.405,5.407
3.578,3.399,5.396
3.569,3.393,5.385
3.56,3.387,5.374
3.551,3.381,5.363
3.542,3.375,5.352
3.534,3.37,5.34
3.526,3.365,5.328
3.518,3.36,5.316
3.51,3.355,5.304
3.502,3.35,5.292
3.494,3.346,5.28
3.487,3.342,5.268
3.48,3.338,5.256
3.473,3.334,5.244
3.466,3.33,5.232
3.459,3.327,5.22
3.452,3.324,5.208
3.446,3.321,5.196
3.44,3.318,5.184
3.434,3.315,5.172
3.428,3.313,5.16
3.422,3.311,5.148
3.416,3.309,5.136
3.411,3.307,5.124
3.406,3.305,5.112
3.401,3.304,5.1
3.396,3.303,5.088
3.391,3.302,5.076
3.387,3.301,5.064
3.383,3.3,5.052
3.379,3.3,5.04
3.375,3.3,5.029
3.371,3.3,5.018
3.367,3.3,5.007
3.364,3.3,4.996
3.361,3.3,4.985
3.358,3.301,4.974
3.355,3.302,4.963
3.352,3.303,4.952
3.35,3.304,4.941
3.348,3.305,4.93
3.346,3.306,4.92
3.344,3.308,4.91
3.342,3.31,4.9
3.34,3.312,4.89
3.339,3.314,4.88
3.338,3.316,4.87
3.337,3.318,4.86
3.336,3.32,4.851
3.335,3.323,4.842
3.334,3.326,4.833
3.334,3.329,4.824
3.334,3.332,4.815
3.334,3.335,4.806
3.334,3.338,4.798
3.334,3.341,4.79
3.334,3.344,4.782
3.335,3.348,4.774
3.336,3.352,4.766
3.337,3.356,4.758
3.338,3.36,4.751
3.339,3.364,4.744
3.34,3.368,4.737
3.341,3.372,4.73
3.343,3.376,4.723
3.345,3.38,4.716
3.347,3.385,4.71
3.349,3.39,4.704
3.351,3.395,4.698
3.353,3.4,4.692
3.355,3.405,4.686
3.358,3.41,4.681
3.361,3.415,4.676
3.364,3.42,4.671
3.367,3.425,4.666
3.37,3.43,4.661
3.373,3.435,4.657
3.376,3.44,4.653
