init x,init y,init z,N,dt,elapsed_time_total
0.1,1.4000000000000001,1.0,40000,0.0023,3.676804000000004
beta,sigma,rho,time_elapsed
10.0,2.6666666666666665,6.0,0.6570427999999993
x,y,z
4.35,5.173,3.281
4.369,5.188,3.313
4.388,5.203,3.345
4.407,5.218,3.377
4.426,5.233,3.409
4.445,5.247,3.441
4.463,5.261,3.474
4.481,5.275,3.507
4.499,5.289,3.54
4.517,5.302,3.573
4.535,5.315,3.606
4.553,5.328,3.639
4.571,5.34,3.672
4.589,5.352,3.706
4.607,5.364,3.74
4.624,5.376,3.774
4.641,5.387,3.808
4.658,5.398,3.842
4.675,5.409,3.876
4.692,5.419,3.91
4.709,5.429,3.944
4.726,5.439,3.979
4.742,5.448,4.014
4.758,5.457,4.049
4.774,5.466,4.084
4.79,5.474,4.119
4.806,5.482,4.154
4.822,5.49,4.189
4.837,5.497,4.224
4.852,5.504,4.259
4.867,5.511,4.294
4.882,5.517,4.329
4.897,5.523,4.364
4.911,5.529,4.399
4.925,5.534,4.434
4.939,5.539,4.469
4.953,5.544,4.505
4.967,5.548,4.541
4.98,5.552,4.577
4.993,5.556,4.613
5.006,5.559,4.649
5.019,5.562,4.684
5.031,5.564,4.719
5.043,5.566,4.754
5.055,5.568,4.789
5.067,5.569,4.824
5.079,5.57,4.859
5.09,5.571,4.894
5.101,5.571,4.929
5.112,5.571,4.964
5.123,5.57,4.999
5.133,5.569,5.034
5.143,5.568,5.069
5.153,5.566,5.104
5.162,5.564,5.139
5.171,5.561,5.174
5.18,5.558,5.208
5.189,5.555,5.242
5.197,5.551,5.276
5.205,5.547,5.31
5.213,5.543,5.344
5.221,5.538,5.378
5.228,5.533,5.412
5.235,5.527,5.445
5.242,5.521,5.478
5.248,5.515,5.511
5.254,5.508,5.544
5.26,5.501,5.577
5.266,5.493,5.609
5.271,5.485,5.641
5.276,5.477,5.673
5.281,5.468,5.705
5.285,5.459,5.736
5.289,5.45,5.767
5.293,5.44,5.798
5.296,5.43,5.829
5.299,5.42,5.859
5.302,5.409,5.889
5.304,5.398,5.919
5.306,5.387,5.949
5.308,5.375,5.978
5.31,5.363,6.007
5.311,5.351,6.036
5.312,5.338,6.064
5.313,5.325,6.092
5.313,5.312,6.12
5.313,5.298,6.147
5.313,5.284,6.174
5.312,5.27,6.201
5.311,5.255,6.227
5.31,5.24,6.253
5.308,5.225,6.279
5.306,5.21,6.304
5.304,5.194,6.329
5.301,5.178,6.354
5.298,5.162,6.378
5.295,5.146,6.402
5.292,5.129,6.425
5.288,5.112,6.448
5.284,5.095,6.471
5.28,5.078,6.493
5.275,5.06,6.515
5.27,5.042,6.536
5.265,5.024,6.557
5.259,5.006,6.578
5.253,4.987,6.598
5.247,4.968,6.618
5.241,4.949,6.637
5.234,4.93,6.656
5.227,4.911,6.675
5.22,4.892,6.693
5.212,4.872,6.711
5.204,4.852,6.728
5.196,4.832,6.745
5.188,4.812,6.761
5.179,4.792,6.777
5.17,4.772,6.793
5.161,4.752,6.808
5.152,4.731,6.823
5.142,4.71,6.837
5.132,4.689,6.851
5.122,4.668,6.864
5.112,4.647,6.877
5.101,4.626,6.889
5.09,4.605,6.901
5.079,4.584,6.913
5.068,4.563,6.924
5.056,4.542,6.935
5.044,4.521,6.945
5.032,4.5,6.955
5.02,4.479,6.964
5.008,4.458,6.973
4.995,4.437,6.982
4.982,4.416,6.99
4.969,4.394,6.998
4.956,4.372,7.005
4.943,4.35,7.012
4.929,4.328,7.018
4.915,4.307,7.024
4.901,4.286,7.03
4.887,4.265,7.035
4.873,4.244,7.04
4.859,4.223,7.044
4.844,4.202,7.048
4.829,4.181,7.052
4.814,4.16,7.055
4.799,4.139,7.058
4.784,4.118,7.06
4.769,4.097,7.062
4.754,4.076,7.064
4.738,4.055,7.065
4.722,4.034,7.066
4.706,4.013,7.066
4.69,3.992,7.066
4.674,3.971,7.066
4.658,3.95,7.065
4.642,3.93,7.064
4.626,3.91,7.063
4.61,3.89,7.061
4.593,3.87,7.059
4.576,3.85,7.057
4.559,3.83,7.054
4.542,3.81,7.051
4.525,3.79,7.048
4.508,3.77,7.044
4.491,3.751,7.04
4.474,3.732,7.036
4.457,3.713,7.031
4.44,3.694,7.026
4.423,3.675,7.021
4.406,3.656,7.015
4.389,3.637,7.009
4.372,3.618,7.003
4.355,3.6,6.996
4.338,3.582,6.989
4.321,3.564,6.982
4.304,3.546,6.975
4.287,3.528,6.967
4.27,3.51,6.959
4.253,3.493,6.951
4.236,3.476,6.943
4.219,3.459,6.934
4.202,3.442,6.925
4.185,3.425,6.916
4.168,3.408,6.907
4.151,3.391,6.897
4.134,3.375,6.887
4.117,3.359,6.877
4.1,3.343,6.867
4.083,3.327,6.856
4.066,3.311,6.845
4.049,3.295,6.834
4.032,3.28,6.823
4.015,3.265,6.812
3.998,3.25,6.8
3.981,3.235,6.788
3.964,3.22,6.776
3.947,3.206,6.764
3.93,3.192,6.752
3.913,3.178,6.739
3.896,3.164,6.726
3.879,3.15,6.713
3.862,3.136,6.7
3.845,3.123,6.687
3.828,3.11,6.674
3.811,3.097,6.66
3.795,3.084,6.646
3.779,3.071,6.632
3.763,3.058,6.618
3.747,3.046,6.604
3.731,3.034,6.59
3.715,3.022,6.576
3.699,3.01,6.561
3.683,2.998,6.546
3.667,2.986,6.531
3.651,2.975,6.516
3.635,2.964,6.501
3.62,2.953,6.486
3.605,2.942,6.471
3.59,2.931,6.456
3.575,2.92,6.441
3.56,2.91,6.426
3.545,2.9,6.41
3.53,2.89,6.394
3.515,2.88,6.378
3.5,2.87,6.362
3.486,2.86,6.346
3.472,2.851,6.33
3.458,2.842,6.314
3.444,2.833,6.298
3.43,2.824,6.282
3.416,2.815,6.266
3.402,2.806,6.25
3.388,2.798,6.234
3.374,2.79,6.218
3.361,2.782,6.202
3.348,2.774,6.185
3.335,2.766,6.168
3.322,2.758,6.151
3.309,2.751,6.134
3.296,2.744,6.117
3.283,2.737,6.1
3.27,2.73,6.083
3.258,2.723,6.066
3.246,2.716,6.049
3.234,2.709,6.032
3.222,2.703,6.015
3.21,2.697,5.998
3.198,2.691,5.981
3.186,2.685,5.964
3.174,2.679,5.947
3.163,2.673,5.93
3.152,2.667,5.913
3.141,2.661,5.896
3.13,2.656,5.879
3.119,2.651,5.862
3.108,2.646,5.845
