init x,init y,init z,N,dt,elapsed_time_total
0.8,1.0,1.0,8000,0.009300000000000001,0.4855898000000707
beta,sigma,rho,time_elapsed
10.0,2.6666666666666665,6.0,0.0961018000000422
x,y,z
0.8,1.0,1.0
0.819,1.028,0.983
0.838,1.057,0.966
0.858,1.086,0.95
0.879,1.116,0.935
0.901,1.147,0.921
0.924,1.179,0.908
0.948,1.212,0.896
0.973,1.246,0.884
0.998,1.281,0.873
1.024,1.317,0.863
1.051,1.354,0.854
1.079,1.392,0.846
1.108,1.431,0.839
1.138,1.471,0.833
1.169,1.512,0.828
1.201,1.554,0.824
1.234,1.597,0.821
1.268,1.642,0.819
1.303,1.688,0.818
1.339,1.735,0.818
1.376,1.783,0.819
1.414,1.833,0.822
1.453,1.884,0.826
1.493,1.936,0.831
1.534,1.99,0.837
1.576,2.045,0.845
1.62,2.102,0.854
1.665,2.16,0.864
1.711,2.219,0.876
1.758,2.28,0.89
1.807,2.342,0.905
1.857,2.406,0.922
1.908,2.471,0.941
1.96,2.538,0.962
2.014,2.606,0.984
2.069,2.676,1.008
2.125,2.747,1.034
2.183,2.82,1.063
2.242,2.894,1.094
2.303,2.969,1.127
2.365,3.046,1.163
2.428,3.124,1.201
2.493,3.203,1.242
2.559,3.284,1.285
2.626,3.366,1.331
2.695,3.449,1.38
2.765,3.533,1.432
2.836,3.618,1.487
2.909,3.703,1.546
2.983,3.789,1.608
3.058,3.876,1.673
3.134,3.963,1.742
3.211,4.05,1.814
3.289,4.137,1.89
3.368,4.224,1.97
3.448,4.311,2.053
3.528,4.397,2.14
3.609,4.483,2.231
3.69,4.568,2.326
3.772,4.652,2.425
3.854,4.734,2.528
3.936,4.814,2.635
4.018,4.892,2.746
4.099,4.968,2.861
4.18,5.041,2.979
4.26,5.112,3.101
4.339,5.179,3.227
4.417,5.243,3.356
4.494,5.303,3.488
4.569,5.359,3.623
4.642,5.41,3.761
4.713,5.456,3.901
4.782,5.497,4.043
4.848,5.533,4.187
4.912,5.563,4.333
4.973,5.587,4.48
5.03,5.605,4.627
5.083,5.617,4.774
5.133,5.623,4.921
5.179,5.622,5.067
5.22,5.615,5.212
5.257,5.601,5.355
5.289,5.58,5.496
5.316,5.553,5.634
5.338,5.519,5.769
5.355,5.479,5.9
5.367,5.433,6.027
5.373,5.381,6.149
5.374,5.324,6.265
5.369,5.261,6.376
5.359,5.193,6.481
5.344,5.121,6.579
5.323,5.045,6.67
5.297,4.965,6.754
5.266,4.882,6.831
5.23,4.796,6.901
5.19,4.708,6.963
