init x,init y,init z,N,dt,elapsed_time_total
1.3000000000000003,2.7,4.3,6500,0.0003999999999999993,0.37430839999996124
beta,sigma,rho,time_elapsed
10.0,2.6666666666666665,6.0,0.07566550000001371
x,y,z
1.3000000000000003,2.7,4.3
1.306,2.7,4.297
1.312,2.7,4.294
1.318,2.7,4.291
1.324,2.7,4.288
1.33,2.7,4.285
1.335,2.7,4.282
1.34,2.7,4.279
1.345,2.7,4.276
1.35,2.7,4.273
1.355,2.7,4.27
1.36,2.7,4.267
1.365,2.7,4.264
1.37,2.7,4.261
1.375,2.7,4.258
1.38,2.7,4.255
1.385,2.7,4.252
1.39,2.7,4.249
1.395,2.7,4.246
1.4,2.7,4.243
1.405,2.7,4.24
1.41,2.7,4.237
1.415,2.7,4.234
1.42,2.7,4.231
1.425,2.7,4.228
1.43,2.7,4.225
1.435,2.7,4.222
1.44,2.7,4.219
1.445,2.7,4.216
1.45,2.7,4.213
1.455,2.7,4.21
1.46,2.7,4.207
1.465,2.7,4.204
1.47,2.7,4.201
1.475,2.7,4.198
1.48,2.7,4.195
1.485,2.7,4.192
1.49,2.7,4.189
1.495,2.7,4.186
1.5,2.7,4.183
1.505,2.7,4.18
1.51,2.7,4.177
1.515,2.7,4.174
1.52,2.7,4.171
1.525,2.7,4.168
1.53,2.7,4.165
1.535,2.7,4.162
1.54,2.7,4.159
1.545,2.7,4.156
1.55,2.7,4.153
1.555,2.7,4.15
1.56,2.7,4.147
1.565,2.7,4.144
1.57,2.7,4.141
1.575,2.7,4.138
1.58,2.7,4.135
1.584,2.7,4.132
1.588,2.7,4.129
1.592,2.7,4.126
1.596,2.7,4.123
1.6,2.7,4.12
1.604,2.7,4.117
1.608,2.7,4.114
1.612,2.7,4.111
1.616,2.7,4.108
1.62,2.7,4.105
1.624,2.7,4.102
1.628,2.7,4.099
1.632,2.7,4.096
1.636,2.7,4.093
1.64,2.7,4.09
1.644,2.7,4.087
1.648,2.7,4.084
1.652,2.7,4.081
1.656,2.7,4.078
1.66,2.7,4.075
1.664,2.7,4.072
1.668,2.7,4.069
1.672,2.7,4.066
1.676,2.7,4.063
1.68,2.7,4.06
1.684,2.7,4.057
1.688,2.7,4.054
1.692,2.7,4.051
1.696,2.7,4.049
1.7,2.7,4.047
1.704,2.7,4.045
1.708,2.7,4.043
1.712,2.7,4.041
1.716,2.7,4.039
1.72,2.7,4.037
1.724,2.7,4.035
1.728,2.7,4.033
1.732,2.7,4.031
1.736,2.7,4.029
1.74,2.7,4.027
1.744,2.7,4.025
1.748,2.7,4.023
1.752,2.7,4.021
1.756,2.7,4.019
1.76,2.7,4.017
1.764,2.7,4.015
1.768,2.7,4.013
1.772,2.7,4.011
1.776,2.7,4.009
1.78,2.7,4.007
1.784,2.7,4.005
1.788,2.7,4.003
1.792,2.7,4.001
1.796,2.7,3.999
1.8,2.7,3.997
1.804,2.7,3.995
1.808,2.7,3.993
1.812,2.7,3.991
1.816,2.7,3.989
1.82,2.7,3.987
1.824,2.7,3.985
1.828,2.7,3.983
1.831,2.7,3.981
1.834,2.7,3.979
1.837,2.7,3.977
1.84,2.7,3.975
1.843,2.7,3.973
1.846,2.7,3.971
1.849,2.7,3.969
1.852,2.7,3.967
1.855,2.7,3.965
1.858,2.7,3.963
1.861,2.7,3.961
1.864,2.7,3.959
1.867,2.7,3.957
1.87,2.7,3.955
1.873,2.7,3.953
1.876,2.7,3.951
1.879,2.7,3.949
1.882,2.7,3.947
1.885,2.7,3.945
1.888,2.7,3.943
1.891,2.7,3.941
1.894,2.7,3.939
1.897,2.7,3.937
1.9,2.7,3.935
1.903,2.7,3.933
1.906,2.7,3.931
1.909,2.7,3.929
1.912,2.701,3.927
1.915,2.702,3.925
1.918,2.703,3.923
1.921,2.704,3.921
1.924,2.705,3.919
1.927,2.706,3.917
1.93,2.707,3.915
1.933,2.708,3.913
1.936,2.709,3.911
1.939,2.71,3.909
1.942,2.711,3.907
1.945,2.712,3.905
1.948,2.713,3.903
1.951,2.714,3.901
1.954,2.715,3.899
1.957,2.716,3.897
1.96,2.717,3.895
1.963,2.718,3.893
1.966,2.719,3.891
1.969,2.72,3.889
1.972,2.721,3.887
1.975,2.722,3.885
1.978,2.723,3.883
1.981,2.724,3.881
1.984,2.725,3.879
1.987,2.726,3.877
1.99,2.727,3.875
1.993,2.728,3.873
1.996,2.729,3.871
1.999,2.73,3.869
2.002,2.731,3.867
2.005,2.732,3.865
2.008,2.733,3.863
2.011,2.734,3.861
2.014,2.735,3.859
2.017,2.736,3.857
2.02,2.737,3.855
2.023,2.738,3.853
2.026,2.739,3.851
2.029,2.74,3.849
2.032,2.741,3.847
2.035,2.742,3.845
2.038,2.743,3.843
2.041,2.744,3.841
2.044,2.745,3.839
2.047,2.746,3.837
2.05,2.747,3.835
2.053,2.748,3.833
2.056,2.749,3.831
2.059,2.75,3.829
2.062,2.751,3.827
2.065,2.752,3.825
2.068,2.753,3.823
2.071,2.754,3.821
2.074,2.755,3.819
2.077,2.756,3.817
2.08,2.757,3.815
2.083,2.758,3.813
2.086,2.759,3.811
2.089,2.76,3.809
2.092,2.761,3.807
2.095,2.762,3.805
2.098,2.763,3.803
2.101,2.764,3.801
2.104,2.765,3.799
2.107,2.766,3.797
2.11,2.767,3.795
2.113,2.768,3.793
2.116,2.769,3.791
2.119,2.77,3.789
2.122,2.771,3.787
2.125,2.772,3.785
2.128,2.773,3.783
2.131,2.774,3.781
2.134,2.775,3.779
2.137,2.776,3.777
2.14,2.777,3.775
2.143,2.778,3.773
2.146,2.779,3.771
2.149,2.78,3.769
2.152,2.781,3.767
2.155,2.782,3.765
2.158,2.783,3.763
2.16,2.784,3.761
2.162,2.785,3.759
2.164,2.786,3.757
2.166,2.787,3.755
2.168,2.788,3.753
2.17,2.789,3.751
2.172,2.79,3.749
2.174,2.791,3.747
2.176,2.792,3.745
2.178,2.793,3.743
2.18,2.794,3.741
2.182,2.795,3.739
2.184,2.796,3.737
2.186,2.797,3.735
2.188,2.798,3.733
2.19,2.799,3.731
2.192,2.8,3.729
2.194,2.801,3.727
2.196,2.802,3.725
2.198,2.803,3.723
2.2,2.804,3.721
2.202,2.805,3.719
2.204,2.806,3.718
2.206,2.807,3.717
2.208,2.808,3.716
2.21,2.809,3.715
2.212,2.81,3.714
2.214,2.811,3.713
2.216,2.812,3.712
2.218,2.813,3.711
2.22,2.814,3.71
2.222,2.815,3.709
2.224,2.816,3.708
2.226,2.817,3.707
2.228,2.818,3.706
2.23,2.819,3.705
2.232,2.82,3.704
2.234,2.821,3.703
2.236,2.822,3.702
2.238,2.823,3.701
2.24,2.824,3.7
2.242,2.825,3.699
2.244,2.826,3.698
2.246,2.827,3.697
2.248,2.828,3.696
2.25,2.829,3.695
2.252,2.83,3.694
2.254,2.831,3.693
2.256,2.832,3.692
2.258,2.833,3.691
2.26,2.834,3.69
2.262,2.835,3.689
2.264,2.836,3.688
2.266,2.837,3.687
2.268,2.838,3.686
2.27,2.839,3.685
2.272,2.84,3.684
2.274,2.841,3.683
2.276,2.842,3.682
2.278,2.843,3.681
2.28,2.844,3.68
2.282,2.845,3.679
2.284,2.846,3.678
2.286,2.847,3.677
2.288,2.848,3.676
2.29,2.849,3.675
2.292,2.85,3.674
2.294,2.851,3.673
2.296,2.852,3.672
2.298,2.853,3.671
2.3,2.854,3.67
2.302,2.855,3.669
2.304,2.856,3.668
2.306,2.857,3.667
2.308,2.858,3.666
2.31,2.859,3.665
2.312,2.86,3.664
2.314,2.861,3.663
2.316,2.862,3.662
2.318,2.863,3.661
2.32,2.864,3.66
2.322,2.865,3.659
2.324,2.866,3.658
2.326,2.867,3.657
2.328,2.868,3.656
2.33,2.869,3.655
2.332,2.87,3.654
2.334,2.871,3.653
2.336,2.872,3.652
2.338,2.873,3.651
2.34,2.874,3.65
2.342,2.875,3.649
2.344,2.876,3.648
2.346,2.877,3.647
2.348,2.878,3.646
2.35,2.879,3.645
2.352,2.88,3.644
2.354,2.881,3.643
2.356,2.882,3.642
2.358,2.883,3.641
2.36,2.884,3.64
2.362,2.885,3.639
2.364,2.886,3.638
2.366,2.887,3.637
2.368,2.888,3.636
2.37,2.889,3.635
2.372,2.89,3.634
2.374,2.891,3.633
2.376,2.892,3.632
2.378,2.893,3.631
2.38,2.894,3.63
2.382,2.895,3.629
2.384,2.896,3.628
2.386,2.897,3.627
2.388,2.898,3.626
2.39,2.899,3.625
2.392,2.9,3.624
2.394,2.901,3.623
2.396,2.902,3.622
2.398,2.903,3.621
2.4,2.904,3.62
2.402,2.905,3.619
2.404,2.906,3.618
2.406,2.907,3.617
2.408,2.908,3.616
2.41,2.909,3.615
2.412,2.91,3.614
2.414,2.911,3.613
2.416,2.912,3.612
2.418,2.913,3.611
2.42,2.914,3.61
2.422,2.915,3.609
2.424,2.916,3.608
2.426,2.917,3.607
2.428,2.918,3.606
2.43,2.919,3.605
2.432,2.92,3.604
2.434,2.921,3.603
2.436,2.922,3.602
2.438,2.923,3.601
2.44,2.924,3.6
2.442,2.925,3.599
2.444,2.926,3.598
2.446,2.927,3.597
2.448,2.928,3.596
2.45,2.929,3.595
2.452,2.93,3.594
2.454,2.931,3.593
2.456,2.932,3.592
2.458,2.933,3.591
2.46,2.934,3.59
2.462,2.935,3.589
2.464,2.936,3.588
2.466,2.937,3.587
2.468,2.938,3.586
2.47,2.939,3.585
2.472,2.94,3.584
2.474,2.941,3.583
2.476,2.942,3.582
2.478,2.943,3.581
2.48,2.944,3.58
2.482,2.945,3.579
2.484,2.946,3.578
2.486,2.947,3.577
2.488,2.948,3.576
2.49,2.949,3.575
2.492,2.95,3.574
2.494,2.951,3.573
2.496,2.952,3.572
2.498,2.953,3.571
2.5,2.954,3.57
2.502,2.955,3.569
2.504,2.956,3.568
2.506,2.957,3.567
2.508,2.958,3.566
2.51,2.959,3.565
2.512,2.96,3.564
2.514,2.961,3.563
2.516,2.962,3.562
2.518,2.963,3.561
2.52,2.964,3.56
2.522,2.965,3.559
2.524,2.966,3.558
2.526,2.967,3.557
2.528,2.968,3.556
2.53,2.969,3.555
2.532,2.97,3.554
2.534,2.971,3.553
2.536,2.972,3.552
2.538,2.973,3.551
2.54,2.974,3.55
2.542,2.975,3.549
2.544,2.976,3.548
2.546,2.977,3.547
2.548,2.978,3.546
2.55,2.979,3.545
2.552,2.98,3.544
2.554,2.981,3.543
2.556,2.982,3.542
2.558,2.983,3.541
2.56,2.984,3.54
2.562,2.985,3.539
2.564,2.986,3.538
2.566,2.987,3.537
2.568,2.988,3.536
2.57,2.989,3.535
2.572,2.99,3.534
2.574,2.991,3.533
2.576,2.992,3.532
2.578,2.993,3.531
2.58,2.994,3.53
2.582,2.995,3.529
2.584,2.996,3.528
2.586,2.997,3.527
2.588,2.998,3.526
2.59,2.999,3.525
2.592,3.0,3.524
2.594,3.001,3.523
2.596,3.002,3.522
2.598,3.003,3.521
2.6,3.004,3.52
2.602,3.005,3.519
2.604,3.006,3.518
2.606,3.007,3.517
2.608,3.008,3.516
2.61,3.009,3.515
2.612,3.01,3.514
2.614,3.011,3.513
2.616,3.012,3.512
2.618,3.013,3.511
2.62,3.014,3.51
2.622,3.015,3.509
2.624,3.016,3.508
2.626,3.017,3.507
2.628,3.018,3.506
2.63,3.019,3.505
2.632,3.02,3.504
2.634,3.021,3.503
2.636,3.022,3.502
2.638,3.023,3.501
2.64,3.024,3.5
2.642,3.025,3.499
2.644,3.026,3.498
2.646,3.027,3.497
2.648,3.028,3.496
2.65,3.029,3.495
2.652,3.03,3.494
2.654,3.031,3.493
2.656,3.032,3.492
2.658,3.033,3.491
2.66,3.034,3.491
2.661,3.035,3.491
2.662,3.036,3.491
2.663,3.037,3.491
2.664,3.038,3.491
2.665,3.039,3.491
2.666,3.04,3.491
2.667,3.041,3.491
2.668,3.042,3.491
2.669,3.043,3.491
2.67,3.044,3.491
2.671,3.045,3.491
2.672,3.046,3.491
2.673,3.047,3.491
2.674,3.048,3.491
2.675,3.049,3.491
2.676,3.05,3.491
2.677,3.051,3.491
2.678,3.052,3.491
2.679,3.053,3.491
2.68,3.054,3.491
2.681,3.055,3.491
2.682,3.056,3.491
2.683,3.057,3.491
2.684,3.058,3.491
2.685,3.059,3.491
2.686,3.06,3.491
2.687,3.061,3.491
2.688,3.062,3.491
2.689,3.063,3.491
2.69,3.064,3.491
2.691,3.065,3.491
2.692,3.066,3.491
2.693,3.067,3.491
2.694,3.068,3.491
2.695,3.069,3.491
2.696,3.07,3.491
2.697,3.071,3.491
2.698,3.072,3.491
2.699,3.073,3.491
2.7,3.074,3.491
2.701,3.075,3.491
2.702,3.076,3.491
2.703,3.077,3.491
2.704,3.078,3.491
2.705,3.079,3.491
2.706,3.08,3.491
2.707,3.081,3.491
2.708,3.082,3.491
2.709,3.083,3.491
2.71,3.084,3.491
2.711,3.085,3.491
2.712,3.086,3.491
2.713,3.087,3.491
2.714,3.088,3.491
2.715,3.089,3.491
2.716,3.09,3.491
2.717,3.091,3.491
2.718,3.092,3.491
2.719,3.093,3.491
2.72,3.094,3.491
2.721,3.095,3.491
2.722,3.096,3.491
2.723,3.097,3.491
2.724,3.098,3.491
2.725,3.099,3.491
2.726,3.1,3.491
2.727,3.101,3.491
2.728,3.102,3.491
2.729,3.103,3.491
2.73,3.104,3.491
2.731,3.105,3.491
2.732,3.106,3.491
2.733,3.107,3.491
2.734,3.109,3.491
2.736,3.111,3.491
2.738,3.113,3.491
2.74,3.115,3.491
2.742,3.117,3.491
2.744,3.119,3.491
2.746,3.121,3.491
2.748,3.123,3.491
2.75,3.125,3.491
2.752,3.127,3.491
2.754,3.129,3.491
2.756,3.131,3.491
2.758,3.133,3.491
2.76,3.135,3.491
2.762,3.137,3.491
2.764,3.139,3.491
2.766,3.141,3.491
2.768,3.143,3.491
2.77,3.145,3.491
2.772,3.147,3.491
2.774,3.149,3.491
2.776,3.151,3.491
2.778,3.153,3.491
2.78,3.155,3.491
2.782,3.157,3.491
2.784,3.159,3.491
2.786,3.161,3.491
2.788,3.163,3.491
2.79,3.165,3.491
2.792,3.167,3.491
2.794,3.169,3.491
2.796,3.171,3.491
2.798,3.173,3.491
2.8,3.175,3.491
2.802,3.177,3.491
2.804,3.179,3.491
2.806,3.181,3.491
2.808,3.183,3.491
2.81,3.185,3.491
2.812,3.187,3.491
2.814,3.189,3.491
2.816,3.191,3.491
2.818,3.193,3.491
2.82,3.195,3.491
2.822,3.197,3.491
2.824,3.199,3.491
2.826,3.201,3.491
2.828,3.203,3.491
2.83,3.205,3.491
2.832,3.207,3.491
2.834,3.209,3.491
2.836,3.211,3.491
2.838,3.213,3.491
2.84,3.215,3.491
2.842,3.217,3.491
2.844,3.219,3.491
2.846,3.221,3.491
2.848,3.223,3.491
2.85,3.225,3.491
2.852,3.227,3.491
2.854,3.229,3.491
2.856,3.231,3.491
2.858,3.233,3.491
2.86,3.235,3.491
2.862,3.237,3.491
2.864,3.239,3.491
2.866,3.241,3.491
2.868,3.243,3.491
2.87,3.245,3.491
